nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
TSS_4411270,80.00000000000001,53.39456268249747,1626.0,8.201738941539633,0.3333333333333333,1.821918560036852,176.96327302578914,178.07977162859103,30.46921993553191,36.88640279172238,53.39456268249747,83.0718177246563,1617.7982610584604,31712.40506329114,46.185414932933924,23.092707466466962,2.2120409128223644,0.4510332036008163,0.23032328904868385,
TSS_1935,80.00000000000001,50.4267389296233,1702.0,3.0364105082638067,0.3333333333333333,1.8667332545980464,187.23247581549518,188.4137649839922,20.270174991672864,35.104175845165926,50.4267389296233,68.55461138209323,1698.9635894917362,35499.74683544304,33.4504355369273,16.72521776846365,2.3404059476936903,0.4738482617650018,0.14608855216030886,
TSS_3850,79.99999999999999,51.8325475290248,1844.0,8.682565341542617,0.3333333333333334,1.8876287548202653,201.36533961930985,202.63579600550545,19.876882012570512,30.46850860528791,51.8325475290248,82.48465927089367,1835.3174346584574,41061.265822784815,52.01615066560576,26.00807533280288,2.5170667452413737,0.4196469837991039,0.2661529996949392,
TSS_5183,79.99999999999999,50.0,1746.0,22.201010126776676,0.3333333333333334,1.8209263817013701,189.2828571212935,190.47708257777828,33.772808049999966,39.661653921949146,50.0,81.16809213400683,1723.7989898732233,36281.51898734177,41.50643821205768,20.75321910602884,2.366035714016169,0.4754788752070002,0.2831450155806621,
TSS_12367,80.0,50.46807411160693,1764.0,9.17157287525381,0.33333333333333337,1.8461615878703481,192.31744590650115,193.5308172234848,27.505095649764385,32.293366887684215,50.46807411160693,85.07713963064045,1754.8284271247464,37454.177215189884,52.78377274295622,26.39188637147811,2.4039680738312645,0.4606746790317284,0.2851480634042486,
TSS_12067,80.00000000000001,51.02943725152286,1946.0,10.144146016810343,0.3333333333333333,1.9097124617634618,212.48999976469483,213.8306439774184,24.07147016713966,26.489475566873654,51.02943725152286,84.47507879442361,1935.8558539831895,45723.54430379747,57.98560322754995,28.992801613774976,2.6561249970586847,0.4090154282162686,0.3491305194819949,
TSS_14085,80.0,58.33069206545372,1654.0,12.126890227322123,0.33333333333333337,1.8016533388807423,179.64409258308498,180.77750504173332,28.09280440337503,39.86347120690034,58.33069206545372,81.91972912623186,1641.873109772678,32680.506329113927,42.05625791933152,21.02812895966576,2.245551157288562,0.3618706458358648,0.2378714611654938,
TSS_14092,80.0,54.003190469111566,1674.0,10.0,0.33333333333333337,1.8032310920688044,181.983515737003,183.13168810960443,23.819660112501055,43.51471862576143,54.003190469111566,77.28920579738224,1664.0,33537.215189873416,33.774487171620805,16.887243585810403,2.274793946712537,0.428557654119479,0.18109229249300526,
TSS_14914,79.99999999999997,46.40269920195113,1730.0,4.7544803211047295,0.3333333333333335,1.8652686060956896,189.7155765876909,190.91253216252952,24.74232419924509,29.64027153857989,46.40269920195113,81.16388734428905,1725.2455196788953,36447.59493670886,51.52361580570915,25.76180790285457,2.3714447073461367,0.5312790030583399,0.27402241681640765,
TSS_17534,80.00000000000003,53.58443110459506,1658.0,8.807634640042608,0.3333333333333332,1.8254792131585282,180.4494389018708,181.58793246025434,32.32029492006011,34.983581023005335,53.58443110459506,78.67527908798786,1649.1923653599576,32974.177215189884,43.69169806498252,21.84584903249126,2.2556179862733843,0.4391629431960141,0.27234967644177954,
TSS_19032,80.00000000000001,52.720770869186964,1794.0,10.919477780787421,0.3333333333333333,1.884480561611512,196.53498416312559,197.77496481825187,21.258573846811487,30.185217164311887,52.720770869186964,84.78745378720407,1783.0805222192128,39114.93670886076,54.60223662289219,27.301118311446096,2.4566873020390685,0.4164026457727915,0.31591985564876873,
TSS_21401,79.99999999999999,54.97843525790759,1918.0,6.644920772240367,0.3333333333333334,1.8714316736841907,208.90667772955464,210.22471400800342,30.893113881269713,32.698112043579734,54.97843525790759,71.95385578389823,1911.35507922776,44194.43037974684,39.2557437403185,19.62787187015925,2.6113334716194334,0.35932165999716903,0.2561145011901753,
TSS_23371,80.0,53.018810698221024,1686.0,21.49886425572288,0.33333333333333337,1.821684963400156,182.78402556022232,183.93724851808847,30.08149050531485,40.05906236611162,53.018810698221024,81.47148905193633,1664.501135744277,33832.91139240506,41.412426685824705,20.70621334291236,2.2848003195027786,0.4428372099654204,0.3076743536251043,
TSS_23796,80.00000000000003,56.06694298288607,1774.0,14.211233793408734,0.3333333333333332,1.8471875431449405,192.82634674753345,194.0429288272265,25.688517432324556,37.73594958038125,56.06694298288607,73.36731625015159,1759.7887662065912,37652.6582278481,35.63136666977035,17.815683334885176,2.4103293343441674,0.3723514564394469,0.2334075718258967,
TSS_25515,80.00000000000003,44.84435847384874,1666.0,4.480196965576626,0.3333333333333332,1.8702749780753063,182.23611058184932,183.3858766285873,24.975282073626925,31.763996274892172,44.84435847384874,88.8480547012853,1661.5198030344236,33630.379746835446,57.084058426393106,28.54202921319656,2.277951382273115,0.5787377937430495,0.31352706871045305,
TSS_26921,79.99999999999999,51.65263516357111,1702.0,9.793348877508198,0.3333333333333334,1.884663529951009,187.06683297688028,188.247077069782,24.416440850805483,27.64246268833905,51.65263516357111,68.95668181373456,1692.2066511224918,35436.96202531645,41.31421912539551,20.657109562697755,2.3383354122110034,0.4546080839450416,0.20498247996518,
TSS_29576,80.00000000000001,60.3492175692826,1798.0,7.391950626101902,0.3333333333333333,1.8850403594142555,196.3924642138797,197.6315456805954,23.501946712471252,28.320871552951022,60.3492175692826,74.73896695735276,1790.6080493738982,39058.22784810127,46.418095404401754,23.209047702200877,2.454905802673496,0.3001762187165729,0.2822644324182301,
TSS_27579,79.99999999999999,51.77842146052504,1734.0,11.468150125764554,0.3333333333333334,1.8467856023294784,189.208879284245,190.40263799895743,24.84150705853412,32.23640221291181,51.77842146052504,80.55588896652415,1722.5318498742356,36253.164556962016,48.319486753612345,24.159743376806173,2.3651109910530628,0.4474670318787449,0.25335406224786217,
TSS_29121,79.99999999999997,50.08172459202166,1860.0,5.368168389188531,0.3333333333333335,1.870447449775724,202.8003944769339,204.07990492681216,28.807445539616428,36.483577705567946,50.08172459202166,72.79837387624886,1854.631831610812,41648.607594936715,36.31479617068091,18.157398085340454,2.5350049309616747,0.44257717769944216,0.2327595396544201,
TSS_29685,80.00000000000001,54.56033599380914,1824.0,9.201626123751154,0.3333333333333333,1.8997241516131025,199.00251254695252,200.25806135893882,24.49679712144366,30.372367393635802,54.56033599380914,82.99651912667802,1814.7983738762491,40103.291139240515,52.62415173304221,26.312075866521106,2.4875314068369065,0.3835076805905453,0.3131554338004299,
TSS_31078,80.00000000000003,54.82779073125685,1710.0,6.0,0.3333333333333332,1.8637693534567208,186.76723481381845,187.94558867873826,25.731078648948607,32.70823785423541,54.82779073125685,83.25093427486973,1704.0,35323.54430379747,50.54269642063433,25.271348210317164,2.3345904351727302,0.4043355242771001,0.32801275172343386,
TSS_32057,80.00000000000001,54.02817338171423,1764.0,13.79840671491476,0.3333333333333333,1.8604092643869732,192.29144546755063,193.50465274228264,29.89533887447321,35.600008534602665,54.02817338171423,74.06394540244463,1750.2015932850852,37444.050632911385,38.463936867841966,19.231968433920983,2.4036430683443823,0.4051947275418743,0.2383155270834499,
TSS_33227,80.0,50.560983482989975,1844.0,11.36725026750909,0.33333333333333337,1.8757152876551528,201.02238681301142,202.2906794376394,30.137191601376877,36.39934879441729,50.560983482989975,70.826499848501,1832.6327497324912,40921.51898734177,34.42715105408372,17.213575527041858,2.512779835162643,0.4393393738438768,0.20610881363638747,
TSS_33940,79.99999999999999,55.126084771682656,1626.0,7.242604737315424,0.3333333333333334,1.867687421328196,178.5777141750896,179.70439862751257,27.551371433339963,34.65669944797827,55.126084771682656,74.2901574727871,1618.7573952626847,32293.670886075954,39.633458024808824,19.816729012404412,2.2322214271886205,0.41786706717383454,0.3249527560163863,
TSS_35716,79.99999999999999,50.85410196624969,1666.0,7.727413270256928,0.3333333333333334,1.828872066589457,182.7238353362801,183.87667854133218,27.548356891580998,35.90171171009466,50.85410196624969,70.27050983124843,1658.2725867297434,33810.632911392415,34.368798121153766,17.184399060576887,2.2840479417035016,0.4785237456313945,0.2115970013650217,
TSS_39867,80.00000000000001,50.91704984424176,1704.0,22.819978735481623,0.3333333333333333,1.808155310107278,184.72682533947255,185.8923058307917,29.763467842068692,42.9952704359431,50.91704984424176,80.59278570528761,1681.1800212645185,34555.949367088615,37.59751526934453,18.798757634672263,2.3090853167434067,0.4723128344079833,0.2582603182419315,
TSS_41231,80.0,49.46653250306738,1818.0,18.996211534071804,0.33333333333333337,1.855039716231184,198.15145722401337,199.40163654851943,24.15453322890864,31.097621592074557,49.46653250306738,74.8284271247462,1799.0037884659284,39761.012658227846,43.730805532671646,21.865402766335823,2.476893215300167,0.4622746851023264,0.2450603063761129,
TSS_41307,80.00000000000003,39.23606797749979,1822.0,6.841243565660932,0.3333333333333332,1.921647859729904,201.11190914513242,202.38076658502982,20.798342213219644,28.267114295612984,39.23606797749979,82.42184327447133,1815.158756434339,40957.974683544315,54.154728978858344,27.077364489429172,2.513898864314154,0.6080783409959518,0.2414304746489613,
TSS_43409,80.00000000000003,52.71086422301215,1710.0,11.833726827122712,0.3333333333333332,1.835856480321545,187.4246515269536,188.60715317253502,26.68092433521639,31.244479883387108,52.71086422301215,74.91665601318408,1698.1662731728773,35572.6582278481,43.67217612979697,21.836088064898487,2.3428081440869195,0.4368017049197514,0.21369300183524634,
TSS_43562,80.0,48.233040334174525,1876.0,4.0,0.33333333333333337,1.8711546054384285,204.73397373176732,206.02568354086586,25.77460325558381,39.92412375089015,48.233040334174525,70.2711356852207,1872.0,42446.582278481015,30.347011934330553,15.173505967165275,2.559174671647092,0.4654863931979119,0.14723267341554316,
TSS_48141,79.99999999999997,49.65615493825521,1734.0,14.845671067449295,0.3333333333333335,1.8531766491858648,190.14731131414928,191.34699079440983,25.776410053126803,31.80794729736401,49.65615493825521,77.01487402344881,1719.1543289325507,36613.67088607594,45.206926726084795,22.603463363042398,2.3768413914268667,0.4787421634105454,0.22322627616078086,
TSS_49027,80.00000000000001,59.597196556318366,1778.0,9.798446795129417,0.3333333333333333,1.8789416503400245,194.0927613281856,195.31733348449558,20.31650311288427,34.28647450843758,59.597196556318366,79.39398610088077,1768.2015532048706,38148.86075949367,45.10751159244319,22.553755796221594,2.426159516602319,0.31535648167501457,0.2686023458033116,
TSS_51782,80.0,53.03201995876481,1638.0,5.423582484372943,0.33333333333333337,1.882427848849792,182.0714145603312,183.22014150514283,19.029053797048775,32.706766523611584,53.03201995876481,70.23606797749979,1632.576417515627,33569.620253164554,37.5293014538882,18.7646507269441,2.27589268200414,0.4443527849721695,0.1867742657269648,
TSS_52697,80.0,63.91175203143588,1716.0,9.762797475982424,0.33333333333333337,1.8408272608755325,186.6386883794461,187.81623121780706,24.15333545335596,29.36995347278323,63.91175203143588,86.3911907720963,1706.2372025240177,35274.93670886076,57.02123729931306,28.51061864965653,2.3329836047430765,0.25859988796946337,0.34419744664642593,
TSS_52810,80.0,59.74284932226321,1786.0,8.12948349147054,0.33333333333333337,1.8622605749707373,194.97179283168117,196.20191098309346,24.40866728670815,33.965342694093835,59.74284932226321,77.92530251649734,1777.8705165085294,38495.18987341772,43.9599598224035,21.97997991120175,2.4371474103960145,0.31169355910715896,0.26798073933604777,
TSS_54697,79.99999999999999,52.17856072289635,1666.0,8.052346082619952,0.3333333333333334,1.8454502859482167,181.97802065084676,183.12615835379097,30.139127436652288,36.055456014280686,52.17856072289635,78.80077007181575,1657.94765391738,33535.18987341772,42.745314057535055,21.372657028767527,2.274725258135585,0.4586505421522869,0.3091381625056853,
